name,color,slug
завтрак,#FF5733,breakfast
обед,#FFC300,lunch
ужин,#DAF7A6,dinner
напитки,#5DADE2,drinks
сладости,#9562D5,desserts
закуски,#007373,snacks
салаты,#C34A4A,salads
грибы,#7D8A8C,mushrooms
овощи,#508C90,vegetables
фрукты,#965A5A,fruits
рыба,#604D7B,fish
мясо,#A54F4F,meat
яйца,#B7A899,eggs
молоко,#6E7058,milk
поварской рецепт,#805E42,chef-recipe
гастрономические путешествия,#4F6258,gastronomic-travels
кулинарные выставки,#4E4B5E,culinary-exhibitions
кулинарные конкурсы,#6E6E6E,culinary-competitions
кулинарные путешествия,#8C6E5B,culinary-travels
повара,#6A4E5E,chefs
кулинарные программы,#4F4F5E,culinary-programs
кулинарные магазины,#7E6D58,culinary-shops
кулинарные школы,#5B4F62,culinary-schools
кулинарные учебники,#5B627C,culinary-textbooks
кулинарные советы,#4F6E5E,culinary-advice
кулинарные игры,#4F5E62,culinary-games
кулинарные финансы,#4F5E7E,culinary-finances
продовольственная политика,#7E5B4F,food-policy
органическое и биодинамичное питание,#724A52,organic-and-bio-dynamic-nutrition
рациональное питание,#6E7561,rational-nutrition
питание в активном и здоровом возрасте,#6B7158,nutrition-in-active-and-healthy-age
диеты,#8C6E5C,diets
биологически активные добавки,#7E624F,bioactive-additives
свежие овощи и фрукты,#4F6E51,fresh-vegetables-and-fruits
история кулинарии,#624F5E,history-of-cooking
рестораны,#7E5B4D,restaurants
праздничные обеды,#724A53,celebratory-lunches
традиционные кушанья,#6B7258,traditional-dishes
прочие блюда,#8C1144,other-dishes
мясные блюда,#5B107C,meat-dishes
рулеты,#7E625F,rollade
квашеные блюда,#4F6E52,pickled-dishes
шашлычные блюда,#724A54,kabob-dishes
маринады,#6E7555,marinades
котлеты,#6B7358,croquettes
консервы,#8C1244,conserves
колбасы,#5B107D,sausages
деликатесы,#4F5E64,delicacies
соусы,#4F6E53,sauces
блюда на пару,#627555,dishes-in-couple
гриль-блюда,#6B7458,grill-dishes
жареные блюда,#8C6E5D,roasted-dishes
оладьи,#8C1544,pancakes
запеканки,#5B117C,cakes
варёные блюда,#7E626F,boiled-dishes
запечённые блюда,#4F5E65,baked-dishes
маринованные блюда,#724A55,marinated-dishes
отборные блюда,#6275B5,select-dishes
замороженные блюда,#6B7558,frozen-dishes
горячие блюда,#8C1944,hot-dishes
медовые блюда,#4F5E66,honey-dishes
горячие соусы,#4F6E54,hot-sauces
Северорусская кухня,#7E627F,north-russian-cuisine
Южнорусская кухня,#4F5E67,south-russian-cuisine
Кавказская кухня,#4F6E55,caucasian-cuisine
Балкано-кавказская кухня,#724A56,balkan-caucasian-cuisine
Казахская кухня,#6274B5,kazakh-cuisine
Центральноазиатская кухня,#6B7658,central-asian-cuisine
Поволжская кухня,#8C6E44,volga-region-cuisine
Приморская кухня,#8C19CD,pacific-cuisine
Уральская кухня,#5B127C,ural-cuisine
Сибирская кухня,#7E628F,siberian-cuisine
Дальневосточная кухня,#4F5E68,far-eastern-cuisine
Еврейская кухня,#4F6E56,jewish-cuisine
